measurement_unit;name
г;абрикосовое варенье
г;абрикосовое пюре
г;абрикосовый джем
стакан;абрикосовый сок
г;абрикосы
г;абрикосы консервированные
по вкусу;авокадо
г;агава сироп
г;агар-агар
г;аграм
г;аджика
г;аджика зеленая
по вкусу;айва
г;айвовое пюре
г;айран
г;айсинг
г;акула стейки
стакан;алкоголь
ст. л.;алкоголь крепкий
г;алыча
шт.;альбухара
г;альмехи
г;амарантовая мука
г;ананасовый сироп
г;ананасовый сок
г;ананасы
г;ананасы вяленые
по вкусу;ананасы консервированные
по вкусу;анис
г;анис звездочки
мл;анисовый ликер
г;анис семена
г;анчоусы
г;апельсиновая вода
г;апельсиновая цедра
ч. л.;апельсиновая эссенция
г;апельсиновое варенье
г;апельсиновые цукаты
г;апельсиновый джем
г;апельсиновый джем с имбирем
г;апельсиновый ликер
стакан;апельсиновый сироп
по вкусу;апельсиновый сок
г;апельсиновый сок свежевыжатый
ст. л.;апельсиновый уксус
ч. л.;апельсиновый экстракт
г;апельсины
шт.;апельсины красные
шт.;апельсины крупные
г;арахис
г;арахис жареный
г;арахисовая паста
г;арахисовое масло
г;арахис соленый
г;арбузная мякоть
г;арбузы
г;аргановое масло
г;аришта
г;ароматизатор
по вкусу;"ароматизатор ""ананас"""
капля;"ароматизатор ""вишня"""
капля;"ароматизатор ""малина"""
г;"ароматизатор ""ром"""
г;артишоки
г;артишоки в масле
г;артишоки маринованные
шт.;аспирин
г;ассорти мясное
г;ассорти овощное
г;ассорти фруктовое
г;ассорти ягодное
г;аши
г;багет
г;багет вчерашний
г;багет мини
звездочка;бадан
щепотка;бадьян
г;базилик лимонный
г;базилик свежий
г;базилик сушеный
горсть;базилик тайский
г;базилик фиолетовый
по вкусу;баклажаны
г;баклажаны мини
г;баклажаны тайские
г;балык
г;бальзам
стакан;бальзамический крем
ст. л.;бальзамический соус
стакан;бальзамический уксус
ст. л.;бальзам рижский черный
г;бамия
г;банановое пюре
горсть;банановые чипсы
мл;банановый зеленый сироп
мл;банановый ликер
г;бананы
г;бананы мини
г;барабулька
г;бараний ливер
кусок;бараний окорок на косточке
г;бараний фарш
г;баранина
г;баранки
кг;бараньи антрекоты
шт.;бараньи голяшки
кг;бараньи потроха
шт.;бараньи ребрышки
кг;баранья лопатка
г;баранья нога
г;баранья печень
г;барбарис
ст. л.;барбарис вяленый
г;барбарис молотый
г;бастурма
г;батат
г;батон
г;батончики шоколадные
г;безе
по вкусу;бекон
г;бекон варено-копченый
г;бекон сырокопченый
г;белорыбица
мл;бирнель
пакет;бисквик смесь готовая
г;бисквит
г;бисквитная крошка
г;бисквитный корж
г;бисквитный рулет
г;бисквит шоколадный
шт.;бифштекс
г;блинная мука
г;блины готовые
шт.;блины овсяные
г;бобовые ростки
г;бобы
г;бобы мунг пророщенные
шт.;бобы тонка
г;ботарга
г;брезаола
г;бренди
г;брокколи замороженная
г;брокколи свежая
г;брусника замороженная
г;брусника свежая
г;брусника сушеная
г;брусничное варенье
г;брусничный соус
по вкусу;брынза
г;брынза сербская
г;брюква
г;буженина
ст. л.;бузина сироп
пучок;букет гарни
г;булгур
кусок;булка
г;булка белая
г;булка сдобная
г;булочки
г;булочки белые черствые
шт.;булочки бриошь
шт.;булочки вчерашние
шт.;булочки для гамбургеров
шт.;булочки зерновые
кусок;булочки ржаные
шт.;булочки с кунжутом
г;бульон
г;бульонные кубики
г;бурбон
г;Буррата
г;буряк
ч. л.;бусинки кондитерские
по вкусу;бусинки кондитерские серебряные
г;бычий хвост
г;ванилин
г;ваниль в стручках
ст. л.;ванильная настойка
г;ванильная эссенция
г;ванильный порошок
г;ванильный сироп
по вкусу;ванильный экстракт
г;варенье
г;васаби
г;вафельная крошка
г;вафельные коржи
г;вафельные трубочки
г;вафли
г;вафли шоколадные
г;вермишель
г;вермишель яичная
г;вермут
г;вермут белый
г;вермут сухой
г;ветчина
г;ветчина вареная
кусок;ветчина варено-копченая
г;ветчина копченая
г;ветчина пармская
г;ветчина сырокопченая
г;вешенки
г;винегрет
щепотка;винный камень
г;винный уксус
г;винный уксус белый
ч. л.;винный уксус красный
ч. л.;винный уксус на чесноке
ст. л.;винный уксус на эстрагоне
по вкусу;вино белое
г;вино белое полусладкое
г;вино белое полусухое
г;вино белое сладкое
стакан;вино белое столовое
г;вино белое сухое
г;виноград
г;виноград без косточек
г;виноград белый
кг;виноград изабелла
ст. л.;виноградное желе
г;виноградные листья
г;виноградные листья маринованные
шт.;виноградные листья молодые
г;виноградный сок
ч. л.;виноградный сок осветленный
г;виноград синий
г;виноград черный
г;вино десертное
г;вино игристое сухое
г;вино красное
г;вино красное полусладкое
г;вино красное полусухое
г;вино красное сладкое
г;вино красное сухое
г;вино крепленое
ст. л.;вино розовое полусладкое
г;вино розовое полусухое
г;виски
г;витамин C в порошке
мл;вишневая настойка
г;вишневое варенье
г;вишневые листья
г;вишневый джем
по вкусу;вишневый ликер
стакан;вишневый сироп
г;вишневый сок
г;вишня
г;вишня вяленая
г;вишня замороженная
шт.;вишня засахаренная кондитерская
г;вишня коктейльная
шт.;вишня мараскино
 протертая с сахаром;вишня
г;вода
стакан;вода минеральная без газа
г;вода минеральная газированная
г;водка
ч. л.;водка анисовая
г;водоросли
г;вустерширский соус
долька;галангал корень
г;галеты
г;гамбургер
г;ганаш
г;гарам масала
г;гарнир
г;гаспачо
г;гвоздика
по вкусу;гвоздика молотая
г;герань листья
г;геркулес
г;глазурь
г;глазурь белая
по вкусу;глазурь готовая
по вкусу;глазурь черная
г;глазурь шоколадная белая
г;глутамат натрия
г;глюкоза
г;глюкоза сироп
г;говядина
г;говядина на кости
по вкусу;говяжий фарш
г;говяжий язык
по вкусу;говяжье сердце
г;говяжьи бифштексы
г;говяжьи голяшки
г;говяжьи легкие
г;говяжьи ребра
г;говяжьи стейки рибай
шт.;говяжья вырезка
кг;говяжья грудинка
г;говяжья лопатка
шт.;говяжья мозговая кость
кг;говяжья мякоть
шт.;говяжья печень
г;говяжья черева
кг;говяжья шейка
г;годжи
шт.;голец филе
г;голубика
г;голубика замороженная
г;голубь
по вкусу;горбуша
банка;горбуша в собственном соку
г;горбуша филе
г;горгонзола
г;горгонзола пиканте
г;горох
г;горох колотый
горсть;гороховые ростки
г;гороховый суп
г;горошек зеленый
г;горошек зеленый замороженный
г;горошек зеленый консервированный
г;горошек стручковый свежий
г;горчица
г;горчица дижонская
г;горчица дижонская с медом
г;горчица желтая семена
г;горчица острая
ст. л.;горчица русская
г;горчица семена
г;горчица с зернами
г;горчица сухая
г;горчица французская
г;горчица цитрусовая
г;горчичное масло
г;горчичный порошок
ст. л.;грана падано
г;гранатные зерна
ст. л.;гранатовая паста
г;гранатовый сироп
г;гранатовый сок
мл;гранатовый сок свежевыжатый
ч. л.;гранатовый соус
г;гранаты
г;гранита
г;гранола с орехами
ч. л.;граппа
кг;гратен
г;грейпфрутовая цедра
г;грейпфрутовый сок
г;грейпфруты
г;грейпфруты розовые
г;гренадин
г;гренки
г;грецкие орехи
г;грецкие орехи рубленые
г;гречневая крупа
ст. л.;гречневая крупа зеленая
г;гречневая лапша соба
г;гречневая мука
стакан;гречневое молоко
г;гречневые хлопья
г;грибы
г;грибы белые
г;грибы белые замороженные
г;грибы белые маринованные
г;грибы белые сухие
г;грибы замороженные
г;грибы замороженные (опята и маслята)
г;грибы лесные
г;грибы маринованные
г;грибы свежие
г;грибы соленые
шт.;грибы соломенные консервированные
г;грибы сухие
г;грибы шиитаке
г;грибы шиитаке сухие
г;гриль
г;гриссини
г;грудинка
г;грудинка варено-копченая
по вкусу;грудинка копченая
г;грушевое пюре
мл;грушевый ликер
мл;грушевый сироп
г;грушевый сок
ст. л.;грушевый уксус
по вкусу;груши
г;груши вяленые
г;грюйер
шт.;гуава
г;гуанчиале
г;гурьевская каша
г;гусиная грудка копченая
г;гусиная печень
ст. л.;гусиный жир
г;гусь
кг;гусь тушка
г;дайкон
г;детское питание
г;джем
г;джин
г;джусай
г;диоксид титана
г;долма
шт.;дорада
шт.;дорада потрошеная с головой
шт.;дорада с головой
шт.;дорада тушка
г;драже
г;дрожжи домашние
г;дрожжи свежие
по вкусу;дрожжи сухие
г;дубовая кора
г;душица
г;дыня
г;ежевика
г;ежевика замороженная
г;ерш
шт.;ёрш-носарь
г;желатин
по вкусу;желатин листовой
г;желе
упаковка;желе для торта
упаковка;желирующее вещество
г;желирующий сахар
г;женьшень
г;жидкий дым
г;жимолость
г;жир
стакан;жир вытопленный
г;жир кулинарный
г;жир растительный
щепотка;заатар
г;завтрак сухой
г;завтрак сухой подушечки
г;загуститель для сливок
г;зайчатина
пакет;закваска
г;закваска вечная
по вкусу;заменитель сахара
г;заменитель сахара стевия
г;заправка для салатов готовая
по вкусу;зверобой
г;зелень
г;зелень рубленая
по вкусу;земляника
г;земляника замороженная
г;зефир
г;зира
г;злаковые хлопья
г;зубатка
г;зубатка филе
г;изолят соевого протеина
г;изюм
г;изюм без косточек
г;изюм белый
г;изюм черный
г;икра
г;икра вяленой рыбы
г;икра горбуши зернистая
г;икра красная
г;икра красной рыбы мелкая
г;икра летучей рыбы
г;икра лосося
г;икра мойвы
г;икра палтуса
г;икра судака
г;икра черная
г;имбирное варенье
по вкусу;имбирное печенье
ст. л.;имбирные цукаты
г;имбирь
г;имбирь засахаренный
г;имбирь корень
г;имбирь маринованный
г;имбирь молотый
г;индейка
г;индейка голень
г;индейка грудка
г;индейка копченая
шт.;индейка тушка
г;индейка фарш
г;индейка филе
шт.;индоутка
г;индюшачья печень
г;инжир
г;инжир свежий
г;инжир сушеный
г;ирга
г;ириски
г;итальянские травы
г;йогурт
г;йогурт греческий
г;йогурт жирный
г;йогурт козий
г;йогурт натуральный
г;йогурт нежирный
г;йогурт обезжиренный
г;йогурт фруктовый
г;кабачки
г;кабачки замороженные
г;кабачки молодые
ст. л.;каджунская смесь специй
горсть;какао
г;какао-бобы
г;какао-масло
по вкусу;какао-порошок
г;какао-порошок обезжиренный
банка;какао сгущенное
по вкусу;калина
г;калина протертая
ч. л.;калинджи семена
г;кальвадос
г;кальмары
г;кальмары вареные
г;кальмары замороженные
г;кальмары консервированные
шт.;кальмары филе
упаковка;камамбер
г;камбала
г;камбала филе
мл;кампари
ч. л.;кандурин золотой
г;каннеллони
г;капеллини
г;каперсы
г;каперсы в винном уксусе
г;каперсы маринованные
г;капуста белокочанная
г;капуста брюссельская
г;капуста брюссельская замороженная
г;капуста кале
по вкусу;капуста квашеная
г;капуста кольраби
г;капуста краснокочанная
по вкусу;капуста морская
г;капуста морская замороженная
г;капуста морская сушеная
г;капуста пекинская
г;капуста савойская
г;капуста цветная
г;капуста цветная замороженная
г;капустный рассол
г;капучино
г;каракатица
г;каракатица очищенная
г;карамбола
мл;карамель
г;карамельный соус
г;карамель с начинкой
г;карамель соленая
г;карась
г;карбонад
г;кардамон
ч. л.;кардамон зерна
г;кардамон молотый
шт.;кардамон стручки
г;каркаде
г;карп
кг;карп зеркальный
кг;карп филе
г;карри
г;карри листья
пакет;карри паста
г;картофель
г;картофель вареный
г;картофель вареный в мундире
г;картофель молодой
по вкусу;картофельное пюре
г;картофельные ньокки
г;картофельные хлопья
г;картофельные чипсы
г;картофельный крахмал
г;картофельный отвар
г;картофельный хэш замороженный
г;картофель печеный
г;катык
по вкусу;каффир-лайм листья
г;каша
г;каша для детского питания
г;каштановая мука
г;каштановый крем
г;каштаны
г;каштаны вареные
г;каштаны консервированные
г;каштаны очищенные
г;квас
г;квасное сусло
упаковка;квасной концентрат сухой
г;квас хлебный
г;кедровая мука
г;кедровые орехи
г;кедровые орехи жареные
г;кета
по вкусу;кетчуп острый
г;кетчуп томатный
ст. л.;кетчуп тосканский
г;кетчуп шашлычный
г;кефаль
по вкусу;кефир
г;кефир 1%
г;кефир 5%
г;кефир 2%
г;кефир обезжиренный
г;кешью
г;кивано
кг;киви
г;киви желе
г;кижуч
г;кижуч горячего копчения филе
г;кизил
г;килька
г;кимчи
зубчик;кинза свежая
г;кинза сушеная
г;киноа
г;киноа молотая
г;кипяток
ст. л.;кирш
г;кисель
г;кисель сухой
мл;кисломолочный напиток Тан
г;кишки
г;клейковина
г;клементины
г;кленовый сироп
г;клубника
г;клубника в сиропе
г;клубника замороженная
 протертая с сахаром;клубника
г;клубника сушеная
г;клубничное варенье
упаковка;клубничное желе
г;клубничное пюре
г;клубничный джем
мл;клубничный джем густой
стакан;клубничный компот
г;клубничный ликер
г;клубничный сироп
г;клюква
г;клюква вяленая
г;клюква замороженная
 протертая с сахаром;клюква
г;клюквенное варенье
г;клюквенный джем
ст. л.;клюквенный морс
г;клюквенный сироп
г;клюквенный соус
г;козлиная печень
кг;козлятина молодая
ст. л.;кока-кола
стакан;кокосовая вода
ст. л.;кокосовая мука
г;кокосовая стружка
г;кокосовая стружка цветная
мл;кокосовое масло
г;кокосовое молоко
г;кокосовые сливки
ст. л.;кокосовый ликер
г;кокосовый экстракт
г;кокосы
г;кола
г;колбаса
г;колбаса вареная
г;колбаса варено-копченая
г;колбаса копченая
г;колбаса кровяная
г;колбаса полукопченая
г;колбаса сырокопченая
шт.;колбаска свиная свежая (salsiccia)
г;колбаски
г;колбаски для жарки
шт.;колбаски домашние
г;колбаски охотничьи
шт.;колбаски сырокопченые
г;компот
ст. л.;конопляное масло
г;конопля семена
по вкусу;конфеты
г;конфеты M&M’s
г;конфеты жевательные лакричные
г;конфеты Коровка
г;конфеты Трюфель
по вкусу;конфитюр
упаковка;конфитюрка
г;коньяк
г;копчености
по вкусу;коренья
г;кориандр
г;кориандр зелень
г;кориандр молотый
г;кориандр семена
ст. л.;коринка
г;корица
г;корица молотая
г;корнишоны
г;корнишоны маринованые
г;корюшка
г;корюшка горячего копчения
г;кости
г;кости мозговые
г;кость сахарная
стакан;кофе в зернах
г;кофе зеленый
г;кофейные зерна в шоколаде
г;кофейный ликер
мл;кофейный ликер Kahlua
мл;кофейный напиток
г;кофейный сироп
мл;кофейный экстракт
ст. л.;кофе молотый
г;кофе растворимый
г;кофе свежесваренный
г;кофе черный
стакан;кофе эспрессо
г;крабовое мясо
по вкусу;крабовые палочки
по вкусу;краб снежный
г;крабы
г;крапива
шт.;краситель-гель пищевой
г;краситель пищевой
щепотка;краситель пищевой вишневый
г;краситель пищевой желтый
ст. л.;краситель пищевой зеленый
г;краситель пищевой красный
г;краситель пищевой оранжевый
г;краситель пищевой фиолетовый
г;краситель пищевой черный
г;красная смородина
 протертая с сахаром;красная смородина
шт.;красноперка
г;красносмородиновое варенье
г;красный винный соус
г;крахмал
г;креветки
г;креветки замороженные
г;креветки королевские
г;креветки очищенные
г;креветки очищенные в рассоле
г;креветки салатные
г;креветки сушеные
г;креветки тигровые
г;крекер
г;крекер соленый
г;крем заварной
г;крем заварной порошковый
г;крем-фреш
г;кресс-салат
мл;кровь
г;кролик
г;кролик тушка
г;кролик филе
г;кроличья печень
по вкусу;круассаны
г;крутоны мелкие
г;крыжовник
банка;крыжовниковое варенье
г;кукуруза
г;кукуруза замороженная
г;кукуруза консервированная
г;кукуруза обжаренная кикос
г;кукурузная крупа
г;кукурузная мука
г;кукурузное масло
шт.;кукурузные лепешки
г;кукурузные палочки
г;кукурузные хлопья
г;кукурузные хлопья глазированные
г;кукурузные чипсы
г;кукурузный (золотой) сироп
по вкусу;кукурузный крахмал
г;кумин
горсть;кумкваты
г;кунжут
г;кунжутная мука
г;кунжутная паста
г;кунжутное масло
по вкусу;кунжутные семечки
ч. л.;кунжут черный
шт.;купаты
по вкусу;курага
г;курдючное сало
г;курдючный жир
г;куриная ветчина
г;куриная кожа
г;куриная печень
г;куриное карпаччо
г;куриное филе
г;куриные бедра
г;куриные голени
шт.;куриные голени копченые
г;куриные грудки
г;куриные грудки вареные
г;куриные грудки копченые
шт.;куриные желудочки
г;куриные кости
г;куриные крылья
г;куриные окорочка
г;куриные окорочка копченые
г;куриные потрошки
г;куриные сердечки
г;куриный бульон
г;куриный паштет
кг;куриный суповой набор
г;куриный фарш
г;курица
г;курица вареная
кг;курица для жарки
г;курица копченая
г;курица тушка
г;куркума
г;куропатки
г;кускус
стакан;кускус жемчужный
г;кэроб
г;лаванда
щепотка;лаванда сушеная
ч. л.;лавандовый краситель
по вкусу;лаваш
г;лаваш армянский
г;лаваш персидский круглый
пласт;лаваш тонкий
шт.;лавровые листья свежие
г;лавровый лист
г;лайм
шт.;лайм листья
г;лаймовая цедра
г;лаймовый сок
шт.;лангустины
г;лапша
упаковка;лапша для лагмана
г;лапша ширатаки
шт.;лапша яичная в гнездах
г;латук
г;легкие
г;лед
шт.;леди-фиш тушка
г;лемонграсс (лимонное сорго)
г;лен семена
г;лепешки
шт.;лепешки арабские
г;лесные орехи
г;лечо
г;ливер
г;ликер
г;ликер Alchermes
г;ликер Amaretto
г;ликер Baileys
г;ликер Cointreau
г;ликер кремовый
г;ликер сливочный
г;лимонад
г;лимонная кислота
г;лимонная цедра
г;лимонник стебель
г;лимонник ягоды
г;лимонные корочки засахаренные
г;лимонные цукаты
г;лимонный сок
г;лимонный уксус
г;лимонный экстракт
г;лимончелло
г;лимоны
шт.;лингвине
г;лисички
г;лисички сушеные
шт.;личи
г;личи компот
г;лобстер
г;лонган
шт.;лонгконг
г;лососевые молоки
г;лососевый фарш
г;лосось
г;лосось горячего копчения
г;лосось копченый
г;лосось свежесоленый
г;лосось свежий
г;лосось свежий филе
г;лосось слабосоленый
г;лосось стейки
г;лосось филе
г;лосось филе на коже
г;лосось холодного копчения
кг;лосятина
по вкусу;лук белый
г;лук зеленый
по вкусу;лук красный
г;лук маринованный
г;луковая шелуха
г;луковый порошок
горсть;лук-порей
по вкусу;лук-резанец
г;лук репчатый
г;лук репчатый мелкий
шт.;лук салатный
г;лук сушеный
г;лук-шалот
шт.;лук-шалот красный
г;льняная мука
ч. л.;льняное масло
г;льняное семя
г;льняное семя молотое
г;любисток
г;маасдам
г;мадера
г;майонез
г;майонез домашний
г;майонез легкий
г;майонезный соус «Слобода» Постный
г;майонез оливковый
г;майонез «Слобода» Легкий
г;майонез «Слобода» На перепелиных яйцах
г;майонез «Слобода» Оливковый
г;майонез «Слобода» Провансаль
г;майонез «Слобода» С лимонным соком
г;майонез «Слобода» Сметанный
г;майоран
по вкусу;майоран свежий
г;майоран сушеный
г;мак
г;макаронные изделия
г;макаронные изделия мелкие
г;макароны
г;макароны-бабочки (farfalle)
г;макароны-бабочки (farfalle) мини
г;макароны баветте
г;макароны-бантики
г;макароны букатини
г;макароны джильи
г;макароны диталони
стакан;макароны-звездочки
г;макароны орзо
г;макароны-ракушки (conchiglie)
г;макароны-ракушки (conchiglie rigate)
г;макароны-ракушки крупные
г;макароны рисони
г;макароны-рожки (pipe rigate)
г;макароны-спиральки (fusilli)
г;макароны-ушки (orecchiette)
г;маккерончини
г;мак молотый
пачка;маковая масса
г;малина
г;малина замороженная
 протертая с сахаром;малина
г;малина сушеная
г;малиновое варенье
г;малиновое желе
г;малиновое пюре
г;малиновый джем
г;малиновый крем
ч. л.;малиновый сироп
ч. л.;малиновый соус
мл;малиновый уксус
г;малиновый чай
по вкусу;манго
мл;манговый сироп
г;манго консервированное
г;мангольд
шт.;мангустин
г;мандариновое пюре
г;мандариновые цукаты
г;мандариновый сок
по вкусу;мандарины
г;мандарины в собственном соку
г;манная крупа
г;маракуйя
г;маргарин
г;маргарин сливочный
по вкусу;мармелад
г;мармелад бутербродный
стакан;марсала
г;мартини
г;мартини красный
по вкусу;марципан
г;марципан зеленый
г;марципан розовый
г;маршмеллоу
г;маршмеллоу крем
г;маршмеллоу мини
г;маскарпоне
г;маслины
г;маслины без косточек
г;масло авокадо
г;масло виноградных косточек
ч. л.;масло грецкого ореха
г;масло для фритюра
г;масло кедрового ореха
г;маслята
г;мастика
г;мастика желатиновая
г;мастика шоколадная
г;матча
г;мафальдине
г;маца
г;мацони
г;маш
г;мед
г;мед акации
г;мед гречишный
г;мед жидкий
г;мед лавандовый
г;мелисса
шт.;меренги
г;мидии
г;мидии в раковинах
г;мидии в раковинах крупные черные
г;мидии в раковинах мелкие зеленые
шт.;мидии замороженные
г;мидии копченые в масле
горсть;микрозелень
г;миндаль
г;миндаль жареный
г;миндаль измельченный
г;миндальная масса
г;миндальная мука
г;миндальная паста
г;миндальная эссенция
г;миндальное масло
г;миндальное молоко
г;миндальное печенье
г;миндальное пралине
г;миндальные лепестки
г;миндальный ликер
г;миндальный сироп
капля;миндальный экстракт
г;миндаль очищенный
г;миндаль рубленый
шт.;мини-кукуруза
г;минога
г;минтай
г;минтай печень
г;минтай филе
г;мисо-паста
пакет;мисо-суп
г;можжевельник ягоды
г;мойва
г;моллюски
г;молоко
г;молоко 5%
г;молоко 5%
г;молоко 5%
г;молоко 2%
г;молоко 6%
г;молоко 4%
г;молоко 6%
г;молоко козье
г;молоко концентрированное
мл;молоко рисовое
г;молоко сгущенное
ст. л.;молоко сгущенное вареное
г;молоко сгущенное с какао
г;молоко сухое
ст. л.;молоко сухое обезжиренное
г;молоко топленое
г;молочная смесь
г;молочные продукты
шт.;морепродукты
г;морковное пюре
г;морковь
г;морковь вареная
г;морковь крупная
г;морковь молодая
г;морковь по-корейски
шт.;морковь тертая
по вкусу;мороженое
г;мороженое ванильное
г;мороженое клубничное
по вкусу;мороженое лимонное
г;мороженое малиновое
г;мороженое пломбир
мл;мороженое шоколадное
г;морошка
кг;морские гребешки
г;морской коктейль
упаковка;морской коктейль в масле
г;морской коктейль замороженный
г;морской черт
г;морской язык
г;морской язык филе
г;мортаделла
г;моцарелла
г;моцарелла для запекания
г;моцарелла для пиццы
г;моцарелла мини
г;моцарелла с травами
г;моцарелла шарик большой
г;мука
г;мука 1 сорт
г;мука 2 сорт
г;мука «Аладушкин»
г;мука грубого помола
г;мука для темпуры
ст. л.;мука из пророщенной пшеницы
г;мука манитоба
г;мука самоподнимающаяся
ч. л.;мука с отрубями
г;мука с семечками
г;мука хлебопекарная
г;мука цельнозерновая
мл;мускат белый
